Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Kwakkelstein, Cornelia Hendrina Liduina (Elly)",P103169,1.0,206,400,Schoonmaak- en Glazenwassers (42937) - Bestuurder
"Mesters, Roland Johannes Hubertus Maria",P131981,1.0,NA,NA,DSM (49417) - Bestuurder
"Hart, Job 't",P129556,1.0,206,867,Vopak (60882) - Bestuurder
"Zuiderwijk, Petrus Leonardus Maria",P109367,1.0,206,39,Agrarische (36722) - Bestuurder
"Muusers, Daniel Hendrikus Maria",P128040,0.271,16,2,Schoonmaak- en Glazenwassers (42937) - Bestuurder<br />Levensmiddelen (42467) - Bestuurder<br />Vleesindustrie (14311) - Bestuurder<br />Agrarische (36722) - Bestuurder
"Nagtegaal, Johan Adriaan",P111503,1.0,NA,NA,NIBC (7065) - Bestuurder
"Wanschers, Franciscus Gerhardus Maria",P113021,1.0,NA,NA,VNU (60127) - Bestuurder
"Blok, Hans",P111119,1.0,206,1097,Hoogovens (7044) - Bestuurder
"Graaf, Anne Martin de",P104234,1.0,206,1120,Achmea (60917) - Bestuurder
"Eisma, Johanna Maria",P102933,1.0,NA,NA,Unisys (60388) - Bestuurder
"Verburgh, Peter",P101588,1.0,206,726,Croda (60943) - Bestuurder
"Faassen, Hendricus Leonardus Petrus",P120250,1.0,206,566,Mars (34780) - Bestuurder
"Uyl, Xander Johannes den",P107770,0.209,14,3,Vleeswaren Prepensionering (60755) - Lid Raad van Toezicht<br />Werk en (re)Integratie (PWRI) (60655) - Bestuurder<br />Vleesindustrie (14311) - Lid Raad van Toezicht<br />Slagersbedrijf (10561) - Lid Raad van Toezicht<br />ABP (30) - Bestuurder<br />Notariaat (13358) - Voorzitter Raad van Toezicht
"Meerten, van",P117638,1.0,206,442,Houthandel (10559) - Bestuurder
"Man, Nicolaas Hendrik",P101590,1.0,206,722,Croda (60943) - Bestuurder
"Ruijter, Ton de",P104335,1.0,206,897,Dierenartsen (9) - Bestuurder
"Goudoever, Bart van",P131779,1.0,206,1055,Loodswezen (60465) - Bestuurder
"Huisman, Frederika Jacoba",P100745,1.0,NA,NA,PPG Industries  (60534) - Bestuurder
"Gelmers-Hollink, Marie Chantal",P113947,1.0,206,934,Wolters Kluwer  (60540) - Bestuurder
"Dieker, Remko Willem",P101609,1.0,NA,NA,Kas Bank (4306) - Bestuurder
